S.N0,Rainfall Duration,Rainfall Intensity,Rainfall Accumulation,Soil Moisture,Actual Output
1,0.740648649,0.6,0.047773672,0.284153717,1
2,0.645405405,0.4,0.013081693,0.004512314,0
3,0.538054054,0.6,0.077021909,0.222917475,0
4,0.642810811,0.6,0.090891664,0.158247349,1
5,0.563675676,0.8,0.003895563,0.007980365,0
6,0.594918919,0.6,0.004727442,0.019182889,1
7,0.596108108,0.4,0.037963284,0.012699243,0
8,0.695027027,1,0.006494848,0.066914222,1
9,0.231891892,0.8,0.012885676,0.038831641,1
10,0.351891892,1,0.096851142,0.088616886,0
11,0.942054054,0.8,0.030546695,0.001029173,1
12,0.652108108,0.2,0.020628296,0.004713043,1
13,0.226810811,0.4,0.027475353,0.008306143,0
14,0.751135135,0.6,0.027596964,0.019447966,1
15,0.601621622,0.8,0.02222215,0.041700421,0
16,0.797513514,0.8,0.046477442,0.013367461,0
17,0.821297297,0.2,0.01105816,0.057265526,1
18,0.295027027,1,0.195093251,0.066818233,1
19,0.862378378,0.2,0.200347521,0.02379798,1
20,0.751027027,0.2,0.020329048,0.001142496,1
21,0.680864865,0.2,0.134176615,0.098945077,1
22,0.803135135,0.6,0.149856433,0.031799832,1
23,0.421189189,0.2,0.013846825,0.128551921,0
24,0.808108108,0.8,0.012515967,0.004937728,0
25,0.892756757,0.4,0.091888182,0.029066704,1
26,0.727459459,1,0.013088099,0.007679327,0
27,0.612324324,0.4,0.078072503,0.074040898,0
28,0.872972973,0.6,0.1149715,0.019901711,1
29,0.675675676,0.4,0.044807,0.086137616,0
30,0.572540541,0.6,0.003251114,0.006979187,0
31,0.322810811,0.4,0.000776968,0.03061756,0
32,0.592648649,0.6,0.082729391,0.034770491,1
33,0.248648649,0.6,0.066690587,0.100652286,0
34,0.413621622,0.6,0.188905078,0.019020982,0
35,0.532324324,0.2,0.046254549,0.049052006,0
36,0.95772973,0.2,0.046254549,0.009426199,0
37,0.346594595,0.8,0.07098199,0.112199327,1
38,0.947243243,1,0.178789965,0.053587097,1
39,0.36172973,1,0.162481665,0.102346311,0
40,0.681189189,0.4,0.050641664,0.037160954,0
41,0.56627027,0.2,0.00136502,0.12282014,0
42,0.219351351,1,0.187886604,0.157522917,0
